Are religious people just dumber, more susceptible, less curious. what? Disagree?:	anti-Atheism	explicit derogation and dehumanization
Affirming Christians are the real bigots: Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire. How can you tell people what they are doing is ok when God warned you that they will go hell?	anti-Islam	explicit derogation and dehumanization
Atheists are deep frying aborted embryos.	anti-Atheism	explicit derogation and dehumanization
I hate Muslims: Muslims are all terrorists who only want to murder Jews	anti-Islam	explicit derogation and dehumanization
I hate Muslims	anti-Islam	explicit derogation and dehumanization
Jewwwws are liars	anti-Christianity	explicit derogation and dehumanization
How Christian of you	undefined	undefined
Religion was invented the day the first con man met the first fool:	anti-Christianity	explicit derogation and dehumanization
Atheists are deep frying aborted embryos for karma.	anti-Atheism	explicit derogation and dehumanization
Just another Satanist :)	anti-Christianity	explicit derogation and dehumanization
No no no. im not religious. Those people are crazy. I'm a spiritualist.:	anti-Christianity	explicit derogation and dehumanization
redneck satanist	anti-Christianity	explicit derogation and dehumanization
Another average satanist	anti-Christianity	undefined
Christian keep people stupid	anti-Christianity	explicit derogation and dehumanization
Buzzed blue collar satanist	anti-Christianity	explicit derogation and dehumanization
Women *: are inferior human beings. So are the jews niggers and mexicans.	undefined	explicit derogation and dehumanization
Atheism is just as dumb as Wicca	anti-Atheism	explicit derogation and dehumanization
Buddhism is all about Pedophilia	anti-Buddhism	explicit derogation and dehumanization
I hate Christians:	anti-Christianity	undefined
christian’s are a virus	anti-Christianity	explicit derogation and dehumanization
Pacifists be like	undefined	undefined
fuck all catholics and fuck all swedes	anti-Christianity	explicit derogation and dehumanization
Fuck off atheists	anti-Atheism	explicit derogation and dehumanization
Eat shit satanist	anti-Christianity	explicit derogation and dehumanization
Kill yourself satanists,🫵	anti-Christianity	threatening language
I wanted to tell a joke about Islam: But I blew up	anti-Islam	explicit derogation and dehumanization
average atheist	anti-Christianity	explicit derogation and dehumanization
It's not offensive or edgy to refer to religions as stupid useless fairy tales.	anti-Christianity	explicit derogation and dehumanization
Religion ist Sünde.	anti-Christianity	explicit derogation and dehumanization
religion ist sünde	anti-Christianity	explicit derogation and dehumanization
Fuck Mega churches: They ruin people's views on Christianity, are a scam and try to force beliefs onto people.	anti-Christianity	explicit derogation and dehumanization
