Are religious people just dumber, more susceptible, less curious. what? Disagree?:	undefined	implicit animosity
Affirming Christians are the real bigots: Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire. How can you tell people what they are doing is ok when God warned you that they will go hell?	anti-Christianity	implicit animosity
Atheists are deep frying aborted embryos.	anti-Atheism	explicit derogation and dehumanization
I hate Muslims: Muslims are all terrorists who only want to murder Jews	anti-Islam	explicit derogation and dehumanization
I hate Muslims	anti-Islam	implicit animosity
Jewwwws are liars	undefined	explicit derogation and dehumanization
How Christian of you	anti-Christianity	implicit animosity
Religion was invented the day the first con man met the first fool:	undefined	implicit animosity
Atheists are deep frying aborted embryos for karma.	anti-Atheism	explicit derogation and dehumanization
Just another Satanist :)	undefined	undefined
No no no. im not religious. Those people are crazy. I'm a spiritualist.:	undefined	implicit animosity
redneck satanist	undefined	explicit derogation and dehumanization
Another average satanist	anti-Christianity	explicit derogation and dehumanization
Christian keep people stupid	anti-Christianity	implicit animosity
Buzzed blue collar satanist	undefined	undefined
Women *: are inferior human beings. So are the jews niggers and mexicans.	undefined	explicit derogation and dehumanization
Atheism is just as dumb as Wicca	anti-Atheism	implicit animosity
Buddhism is all about Pedophilia	anti-Buddhism	explicit derogation and dehumanization
I hate Christians:	anti-Christianity	explicit derogation and dehumanization
christian’s are a virus	anti-Christianity	implicit animosity
Pacifists be like	undefined	undefined
fuck all catholics and fuck all swedes	anti-Christianity	explicit derogation and dehumanization
Fuck off atheists	anti-Atheism	explicit derogation and dehumanization
Eat shit satanist	undefined	explicit derogation and dehumanization
Kill yourself satanists,🫵	undefined	threatening language
I wanted to tell a joke about Islam: But I blew up	undefined	undefined
average atheist	undefined	undefined
It's not offensive or edgy to refer to religions as stupid useless fairy tales.	undefined	explicit derogation and dehumanization
Religion ist Sünde.	undefined	explicit derogation and dehumanization
religion ist sünde	undefined	explicit derogation and dehumanization
Fuck Mega churches: They ruin people's views on Christianity, are a scam and try to force beliefs onto people.	anti-Christianity	explicit derogation and dehumanization
The antichrist, all in one picture. I HATE THE ANTICHRIST	anti-Christianity	explicit derogation and dehumanization
Jews are not even human beings	undefined	explicit derogation and dehumanization
Atheist logic - when we die we become nothing, everything is meaningless	anti-Atheism	implicit animosity
Islam is a cult	anti-Islam	implicit animosity
Muslims be like this fr	anti-Islam	implicit animosity
Jehovah is a slave owner	anti-Christianity	explicit derogation and dehumanization
I hate foreigners (mostly muslims)	anti-Islam	implicit animosity
I HATE THE ANTICHRIST ! I HATE MODERN SOCIETY !	anti-Christianity	explicit derogation and dehumanization
Islam is a scam	anti-Christianity	implicit animosity
South Asian muslim are ret@rded	anti-Islam	explicit derogation and dehumanization
Islam is a cancer	anti-Islam	explicit derogation and dehumanization
Hatred for Islam	anti-Islam	implicit animosity
PURITANS RUINED LIFE	anti-Christianity	implicit animosity
Atheists bad	anti-Atheism	implicit animosity
I thought atheists were the ones that ate babies /s	undefined	explicit derogation and dehumanization
Christians shouldn't mourn when a fellow Christian dies.	anti-Christianity	implicit animosity
Non-believers blown the fuck out	anti-Atheism	explicit derogation and dehumanization
I don't believe in none of that crazy Muslim shit anyways:	anti-Islam	explicit derogation and dehumanization
Antitheist says religion is irrational	undefined	undefined
Antitheist believes religion is irrational	undefined	undefined
average Muslims activities	undefined	undefined
I wonder if people who are super religious think they'll go to heaven by forcing their religion on others.	undefined	implicit animosity
Atheists are just stupid: Atheists have nothing to live for so they try to convince believers that god doesn't exist in order to make them as miserable as them, and that they'll burn in hell because they're evil and useless.	anti-Atheism	explicit derogation and dehumanization
Most menacing Muslim	anti-Islam	explicit derogation and dehumanization
Same sh*t, different religion	undefined	implicit animosity
Most menacing muslim.	anti-Islam	explicit derogation and dehumanization
I say God Hates: Bigots "aka Evangelical Protestants"	anti-Christianity	explicit derogation and dehumanization
Very religious people are the worst people to be around	undefined	implicit animosity
Atheists are just bigots	anti-Atheism	explicit derogation and dehumanization
Were do autistic jews go?: Concentration camp	undefined	explicit derogation and dehumanization
You are a disgusting thing. BUNCH OF INMORAL BIBLE BURNER	anti-Christianity	explicit derogation and dehumanization
The bible is a fake story made up by people who could not comprehend things that were happening at the time	anti-Christianity	implicit animosity
Ugh: Toxic Christianity.... I sees it over there... right there... yup that, you see it too.... That person is on a hard path... I wish that on no one. I am gonna pray for them Father forgive this person for all the pain they are about to cause, intentionally. Amen	anti-Christianity	implicit animosity
aThEiStS dEnY rEaLiTy	anti-Christianity	implicit animosity
Many Say They Are Believers; But Don't Believe The Bible !	undefined	undefined
Atheism is a disease	anti-Atheism	implicit animosity
throwing Battenburg at you pagan nerds.:	undefined	abusive humor
Smh at these fake christians	anti-Christianity	implicit animosity
Trying to know about the humanist side of V.I. Lenin, if any	undefined	undefined
I hate the antichrist	anti-Christianity	implicit animosity
Average catholic priest	undefined	undefined
