Are religious people just dumber, more susceptible, less curious. what? Disagree?:	undefined	undefined
Affirming Christians are the real bigots: Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire. How can you tell people what they are doing is ok when God warned you that they will go hell?	anti-Christianity	explicit derogation and dehumanization
Atheists are deep frying aborted embryos.	undefined	undefined
I hate Muslims: Muslims are all terrorists who only want to murder Jews	anti-Islam	explicit derogation and dehumanization
I hate Muslims	anti-Islam	explicit derogation and dehumanization
Jewwwws are liars	undefined	undefined
How Christian of you	anti-Christianity	explicit derogation and dehumanization
Religion was invented the day the first con man met the first fool:	anti-Christianity	explicit derogation and dehumanization
Atheists are deep frying aborted embryos for karma.	undefined	undefined
Just another Satanist :)	anti-Christianity	undefined
No no no. im not religious. Those people are crazy. I'm a spiritualist.:	anti-Christianity	explicit derogation and dehumanization
redneck satanist	anti-Christianity	explicit derogation and dehumanization
Another average satanist	anti-Christianity	explicit derogation and dehumanization
Christian keep people stupid	anti-Christianity	explicit derogation and dehumanization
Buzzed blue collar satanist	anti-Christianity	explicit derogation and dehumanization
Women *: are inferior human beings. So are the jews niggers and mexicans.	undefined	explicit derogation and dehumanization
Atheism is just as dumb as Wicca	anti-Atheism	explicit derogation and dehumanization
Buddhism is all about Pedophilia	anti-Buddhism	explicit derogation and dehumanization
I hate Christians:	anti-Christianity	explicit derogation and dehumanization
christian’s are a virus	anti-Christianity	explicit derogation and dehumanization
Pacifists be like	anti-Christianity	explicit derogation and dehumanization
fuck all catholics and fuck all swedes	undefined	undefined
Fuck off atheists	anti-Atheism	explicit derogation and dehumanization
Eat shit satanist	undefined	undefined
Kill yourself satanists,🫵	undefined	undefined
I wanted to tell a joke about Islam: But I blew up	undefined	undefined
average atheist	undefined	undefined
It's not offensive or edgy to refer to religions as stupid useless fairy tales.	undefined	undefined
Religion ist Sünde.	anti-Christianity	explicit derogation and dehumanization
religion ist sünde	anti-Christianity	explicit derogation and dehumanization
Fuck Mega churches: They ruin people's views on Christianity, are a scam and try to force beliefs onto people.	undefined	undefined
The antichrist, all in one picture. I HATE THE ANTICHRIST	anti-Christianity	explicit derogation and dehumanization
Jews are not even human beings	undefined	explicit derogation and dehumanization
Atheist logic - when we die we become nothing, everything is meaningless	anti-Atheism	explicit derogation and dehumanization
Islam is a cult	anti-Islam	explicit derogation and dehumanization
Muslims be like this fr	anti-Islam	explicit derogation and dehumanization
Jehovah is a slave owner	anti-Christianity	explicit derogation and dehumanization
I hate foreigners (mostly muslims)	anti-Islam	explicit derogation and dehumanization
I HATE THE ANTICHRIST ! I HATE MODERN SOCIETY !	anti-Christianity	explicit derogation and dehumanization
Islam is a scam	anti-Islam	explicit derogation and dehumanization
South Asian muslim are ret@rded	anti-Islam	explicit derogation and dehumanization
Islam is a cancer	anti-Islam	explicit derogation and dehumanization
Hatred for Islam	anti-Islam	explicit derogation and dehumanization
PURITANS RUINED LIFE	undefined	undefined
Atheists bad	anti-Atheism	explicit derogation and dehumanization
I thought atheists were the ones that ate babies /s	anti-Atheism	abusive humor
Christians shouldn't mourn when a fellow Christian dies.	undefined	undefined
Non-believers blown the fuck out	anti-Atheism	explicit derogation and dehumanization
I don't believe in none of that crazy Muslim shit anyways:	anti-Islam	explicit derogation and dehumanization
Antitheist says religion is irrational	anti-Christianity	explicit derogation and dehumanization
Antitheist believes religion is irrational	anti-Christianity	explicit derogation and dehumanization
average Muslims activities	undefined	undefined
I wonder if people who are super religious think they'll go to heaven by forcing their religion on others.	undefined	undefined
Atheists are just stupid: Atheists have nothing to live for so they try to convince believers that god doesn't exist in order to make them as miserable as them, and that they'll burn in hell because they're evil and useless.	anti-Atheism	explicit derogation and dehumanization
Most menacing Muslim	anti-Christianity	explicit derogation and dehumanization
Same sh*t, different religion	anti-Christianity	explicit derogation and dehumanization
Most menacing muslim.	anti-Islam	explicit derogation and dehumanization
