text	true_stance	true_category	Mistral-7B-Instruct-v0-1_stance	Mistral-7B-Instruct-v0-1_category	Qwen3-235B-A22B_stance	Qwen3-235B-A22B_category	DeepSeek-R1-Zero_stance	DeepSeek-R1-Zero_category	Claude3-5_Haiku_stance	Claude3-5_Haiku_category	Falcon3-7B-Instruct_stance	Falcon3-7B-Instruct_category	Gemini_2_5_Flash_stance	Gemini_2_5_Flash_category	deepseek-V3_stance	deepseek-V3_category	Yi-9B_stance	Yi-9B_category	Llama-3-8B-Instruct_stance	Llama-3-8B-Instruct_category	GPT-4_1_stance	GPT-4_1_category	SEA_LION_stance	SEA_LION_category
Affirming Christians are the real bigots: Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire. How can you tell people what they are doing is ok when God warned you that they will go hell?	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Atheists are deep frying aborted embryos.	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	dehumanization  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	explicit derogation	undefined	explicit derogation and dehumanization	undefined	undefined	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization
I hate Muslims: Muslims are all terrorists who only want to murder Jews	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	dehumanization  	anti-Islam	dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization
I hate Muslims	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity  	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	implicit animosity
Jewwwws are liars	undefined	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Hinduism	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	undefined	explicit derogation	undefined	explicit derogation and dehumanization	undefined	undefined	anti-Christianity	explicit derogation	undefined	explicit derogation and dehumanization
How Christian of you	anti-Christianity	implicit anomosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	abusive humor  	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity	undefined	undefined	anti-Christianity	implicit animosity	anti-Christianity	abusive humor	anti-Christianity	undefined	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Atheists are deep frying aborted embryos for karma.	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	dehumanization  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	explicit derogation	undefined	abusive humor	undefined	undefined	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	explicit derogation and dehumanization
Just another Satanist :)	undefined	implicit anomosity	anti-Christianity	explicit derogation and dehumanization	undefined	abusive humor  	undefined	abusive humor	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	abusive humor	undefined	undefined	anti-Christianity	undefined	undefined	implicit animosity	undefined	undefined
redneck satanist	undefined	explicit derogation	undefined	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	implicit animosity	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	abusive humor	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	explicit derogation and dehumanization
Another average satanist	undefined	implicit anomosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	implicit animosity	undefined	implicit animosity	anti-Christianity	undefined	undefined	implicit animosity	undefined	abusive humor	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization
Christian keep people stupid	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Buzzed blue collar satanist	undefined	implicit anomosity	undefined	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	implicit animosity	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	abusive humor	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	undefined
