Are religious people just dumber, more susceptible, less curious. what? Disagree?:	undefined	implicit animosity
Affirming Christians are the real bigots: Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire. How can you tell people what they are doing is ok when God warned you that they will go hell?	anti-Christianity	explicit derogation and dehumanization
Atheists are deep frying aborted embryos.	undefined	explicit derogation and dehumanization
I hate Muslims: Muslims are all terrorists who only want to murder Jews	anti-Islam	explicit derogation and dehumanization
I hate Muslims	anti-Islam	explicit derogation and dehumanization
Jewwwws are liars	undefined	explicit derogation and dehumanization
How Christian of you	anti-Christianity	undefined
Religion was invented the day the first con man met the first fool:	undefined	implicit animosity
Atheists are deep frying aborted embryos for karma.	undefined	abusive humor
Just another Satanist :)	undefined	undefined
No no no. im not religious. Those people are crazy. I'm a spiritualist.:	undefined	undefined
redneck satanist	undefined	undefined
Another average satanist	undefined	undefined
Christian keep people stupid	anti-Christianity	explicit derogation and dehumanization
Buzzed blue collar satanist	undefined	undefined
Women *: are inferior human beings. So are the jews niggers and mexicans.	undefined	explicit derogation and dehumanization
Atheism is just as dumb as Wicca	anti-Atheism	explicit derogation and dehumanization
Buddhism is all about Pedophilia	anti-Buddhism	explicit derogation and dehumanization
I hate Christians:	anti-Christianity	undefined
christian’s are a virus	anti-Christianity	explicit derogation and dehumanization
Pacifists be like	undefined	undefined
fuck all catholics and fuck all swedes	anti-Christianity	explicit derogation and dehumanization
Fuck off atheists	anti-Atheism	explicit derogation and dehumanization
Eat shit satanist	undefined	abusive humor
Kill yourself satanists,🫵	undefined	abusive humor
I wanted to tell a joke about Islam: But I blew up	undefined	abusive humor
average atheist	anti-Atheism	undefined
It's not offensive or edgy to refer to religions as stupid useless fairy tales.	undefined	explicit derogation and dehumanization
Religion ist Sünde.	anti-Christianity	explicit derogation and dehumanization
religion ist sünde	anti-Christianity	explicit derogation and dehumanization
Fuck Mega churches: They ruin people's views on Christianity, are a scam and try to force beliefs onto people.	anti-Christianity	explicit derogation and dehumanization
The antichrist, all in one picture. I HATE THE ANTICHRIST	anti-Christianity	explicit derogation and dehumanization
Jews are not even human beings	undefined	explicit derogation and dehumanization
Atheist logic - when we die we become nothing, everything is meaningless	undefined	implicit animosity
Islam is a cult	anti-Islam	explicit derogation and dehumanization
Muslims be like this fr	undefined	undefined
Jehovah is a slave owner	anti-Christianity	explicit derogation and dehumanization
I hate foreigners (mostly muslims)	anti-Islam	explicit derogation and dehumanization
I HATE THE ANTICHRIST ! I HATE MODERN SOCIETY !	anti-Christianity	explicit derogation and dehumanization
Islam is a scam	anti-Islam	explicit derogation and dehumanization
South Asian muslim are ret@rded	anti-Islam	explicit derogation and dehumanization
Islam is a cancer	anti-Islam	explicit derogation and dehumanization
Hatred for Islam	anti-Islam	undefined
PURITANS RUINED LIFE	undefined	undefined
Atheists bad	anti-Atheism	explicit derogation and dehumanization
I thought atheists were the ones that ate babies /s	undefined	abusive humor
Christians shouldn't mourn when a fellow Christian dies.	anti-Christianity	implicit animosity
Non-believers blown the fuck out	undefined	abusive humor
I don't believe in none of that crazy Muslim shit anyways:	anti-Islam	explicit derogation and dehumanization
Antitheist says religion is irrational	anti-Atheism	undefined
Antitheist believes religion is irrational	anti-Atheism	undefined
average Muslims activities	anti-Islam	undefined
I wonder if people who are super religious think they'll go to heaven by forcing their religion on others.	undefined	undefined
Atheists are just stupid: Atheists have nothing to live for so they try to convince believers that god doesn't exist in order to make them as miserable as them, and that they'll burn in hell because they're evil and useless.	anti-Atheism	explicit derogation and dehumanization
Most menacing Muslim	anti-Islam	explicit derogation and dehumanization
Same sh*t, different religion	undefined	abusive humor
Most menacing muslim.	anti-Islam	explicit derogation and dehumanization
I say God Hates: Bigots "aka Evangelical Protestants"	anti-Christianity	explicit derogation and dehumanization
Very religious people are the worst people to be around	undefined	implicit animosity
Atheists are just bigots	anti-Atheism	explicit derogation and dehumanization
Were do autistic jews go?: Concentration camp	undefined	explicit derogation and dehumanization
You are a disgusting thing. BUNCH OF INMORAL BIBLE BURNER	anti-Christianity	explicit derogation and dehumanization
The bible is a fake story made up by people who could not comprehend things that were happening at the time	anti-Christianity	explicit derogation and dehumanization
Ugh: Toxic Christianity.... I sees it over there... right there... yup that, you see it too.... That person is on a hard path... I wish that on no one. I am gonna pray for them Father forgive this person for all the pain they are about to cause, intentionally. Amen	undefined	undefined
aThEiStS dEnY rEaLiTy	undefined	abusive humor
Many Say They Are Believers; But Don't Believe The Bible !	anti-Christianity	explicit derogation and dehumanization
Atheism is a disease	anti-Atheism	explicit derogation and dehumanization
throwing Battenburg at you pagan nerds.:	undefined	abusive humor
Smh at these fake christians	anti-Christianity	undefined
Trying to know about the humanist side of V.I. Lenin, if any	undefined	undefined
I hate the antichrist	anti-Christianity	explicit derogation and dehumanization
Average catholic priest	undefined	undefined
Religious people see signs of their gods existence in anything: They are so desperate that they will believe anything is a sign of their gods existence. Any favourable coincidence is a sure sign of gods existence for them. These huge and powerful gods sure do find stupid ways to show their existence.	anti-Atheism	explicit derogation and dehumanization
nowaday hinduism is a purely retarded religion	anti-Hinduism	explicit derogation and dehumanization
Take that religious people	undefined	abusive humor
Religion is bad.	undefined	implicit animosity
Quit using your Religion as an excuse for your disgusting actions and behavior.	undefined	implicit animosity
being christian is a curse	anti-Christianity	implicit animosity
Christians don't be slavery apologists challenge	anti-Christianity	implicit animosity
I hate missionaries, specifically Christian ones.	anti-Christianity	implicit animosity
Those Christians nazis just can't keep their hatred to themselves	anti-Christianity	explicit derogation and dehumanization
